code,market,name,sector
068400,KOSPI,SK렌터카,운송장비 임대업
036490,KOSDAQ,SK머티리얼즈,화학
096770,KOSPI,SK이노베이션,석유 정제품 제조업
001510,KOSPI,SK증권,금융
285130,KOSPI,SK케미칼,화학
017670,KOSPI,SK텔레콤,전기통신
000660,KOSPI,SK하이닉스,반도체
048550,KOSDAQ,SM C&C,광고업
063440,KOSDAQ,SM Life Design,기록매체 복제업
950180,KOSDAQ,SNK,IT
005610,KOSPI,SPC삼립,식품제조
011810,KOSPI,STX,도매업
077970,KOSPI,STX엔진,기계
071970,KOSPI,STX중공업,기계
084870,KOSPI,TBH글로벌,의류
002710,KOSPI,TCC스틸,철강
089230,KOSDAQ,THE E&M,IT
161570,KOSDAQ,THE MIDONG,영상음향
032540,KOSDAQ,TJ미디어,영상음향
048770,KOSDAQ,TPC,기계
317240,KOSDAQ,TS트릴리온,화학
038340,KOSDAQ,UCI,일반 교습 학원
073570,KOSDAQ,WI,기계제조
024070,KOSPI,WISCOM,화학
052300,KOSDAQ,W홀딩컴퍼니,기타 운송관련 서비스업
057030,KOSDAQ,YBM넷,교육지원 서비스업
037270,KOSPI,YG PLUS,IT
040300,KOSDAQ,YTN,영상배급
051390,KOSDAQ,YW,도매업
052220,KOSDAQ,iMBC,IT
079940,KOSDAQ,가비아,IT
078890,KOSDAQ,가온미디어,통신방송
000500,KOSPI,가온전선,절연선 및 케이블 제조업
192410,KOSDAQ,감마누,통신방송
000860,KOSPI,강남제비스코,화학
114190,KOSDAQ,강원,"구조용 철강제품, 탱크 및 증기발생기 제조업"
035250,KOSPI,강원랜드,유흥
094480,KOSDAQ,갤럭시아머니트리,IT
011420,KOSPI,갤럭시아에스엠,스포츠 서비스업
063080,KOSDAQ,게임빌,IT
044480,KOSDAQ,경남바이오파마,고무제품 제조업
039240,KOSDAQ,경남스틸,철강
223310,KOSDAQ,경남제약헬스케어,IT
002100,KOSPI,경농,"비료, 농약 및 살균, 살충제 제조업"
009450,KOSPI,경동나비엔,가정용 기기 제조업
267290,KOSPI,경동도시가스,연료용 가스 제조 및 배관공급업
012320,KOSPI,경동인베스트,금융
000050,KOSPI,경방,소매업
012610,KOSPI,경인양행,화학
009140,KOSPI,경인전자,전자
024910,KOSDAQ,경창산업,자동차
013580,KOSPI,계룡건설,토목 건설업
012200,KOSPI,계양전기,기계
002140,KOSPI,고려산업,"곡물가공품, 전분 및 전분제품 제조업"
198440,KOSDAQ,고려시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업"
049720,KOSDAQ,고려신용정보,기타 사업지원 서비스업
010130,KOSPI,고려아연,철강
002240,KOSPI,고려제강,철강
098460,KOSDAQ,고영,기계제조
038530,KOSDAQ,골드퍼시픽,생활용품 도매업
215000,KOSDAQ,골프존,IT
121440,KOSDAQ,골프존뉴딘홀딩스,중개업
014200,KOSDAQ,광림,자동차용 엔진 및 자동차 제조업
017040,KOSPI,광명전기,전동기계
017900,KOSPI,광전자,반도체
037710,KOSPI,광주신세계,소매업
026910,KOSDAQ,광진실업,철강
090150,KOSDAQ,광진윈텍,자동차
030610,KOSPI,교보증권,금융
339770,KOSPI,교촌에프앤비,음식도매
053270,KOSDAQ,구영테크,자동차
