        code  market            name                                 sector
128   060250  KOSDAQ      NHN한국사이버결제                             IT
129   005940   KOSPI          NH투자증권                             금융
130   338100   KOSPI         NH프라임리츠                           부동산
131   034310   KOSPI            NICE                    회사 본부 및 경영 컨설팅 서비스업
132   030190  KOSDAQ        NICE평가정보                             IT
133   008260   KOSPI            NI스틸                              철강제조
134   004250   KOSPI             NPC                             플라스틱제조
135   010060   KOSPI             OCI                            기초화학물질
136   078590  KOSDAQ             OQP                          자동차
137   178920  KOSDAQ          PI첨단소재                             플라스틱제조
138   024940  KOSDAQ            PN풍년                         기타 금속 가공제품 제조업
139   005490   KOSPI           POSCO                              철강제조
140   218410  KOSDAQ           RFHIC                         통신방송
141   091340  KOSDAQ          S&K폴리텍                               전자부품
142   100840   KOSPI            S&TC                          기계제조
143   064960   KOSPI          S&T모티브                          자동차
144   003570   KOSPI          S&T중공업                          자동차
145   036530   KOSPI          S&T홀딩스                                 금융
146   010950   KOSPI           S-Oil                             석유
147   019550  KOSDAQ       SBI인베스트먼트                            금융
148   950110  KOSDAQ      SBI핀테크솔루션즈                         IT
149   034120   KOSPI             SBS                               방송
150   101060   KOSPI       SBS미디어홀딩스                               방송
151   046140  KOSDAQ        SBS콘텐츠허브              영상배급
152   036120  KOSDAQ         SCI평가정보                             IT
153   099220  KOSDAQ             SDN                       기계장비
154   036540  KOSDAQ          SFA반도체                                반도체
155   255220  KOSDAQ              SG                        비금속
156   040610  KOSDAQ            SG&G                          자동차
157   049470  KOSDAQ             SGA                         IT
158   184230  KOSDAQ         SGA솔루션즈                         IT
159   005090   KOSPI          SGC에너지                                    전기업
160   016250  KOSDAQ        SGC이테크건설                                 건설
161   004060   KOSPI          SG세계물산                              도매업
162   001380   KOSPI            SG충방                          자동차
163   002360   KOSPI         SH에너지화학                            기초화학물질
164   009160   KOSPI          SIMPAC                          특수목적기계제조
165   123700   KOSPI             SJM                          자동차
166   025530   KOSPI          SJM홀딩스                       자동차
167   034730   KOSPI              SK                                 금융
168   307070  KOSDAQ          SK4호스팩                             금융
169   337450  KOSDAQ          SK5호스팩                             금융
170   340350  KOSDAQ          SK6호스팩                             금융
171   011790   KOSPI             SKC                            화학제품제조
172   018670   KOSPI            SK가스                              전문도매
173   001740   KOSPI          SK네트웍스                              전문도매
174   006120   KOSPI         SK디스커버리                                 금융
175   210980   KOSPI           SK디앤디                           부동산
176   068400   KOSPI           SK렌터카                               임대업
177   036490  KOSDAQ         SK머티리얼즈                            기초화학물질
178   326030   KOSPI          SK바이오팜                        바이오
179   096770   KOSPI         SK이노베이션                             석유
180   001510   KOSPI            SK증권                             금융
181   285130   KOSPI           SK케미칼                     화학
182   017670   KOSPI           SK텔레콤                                 통신
183   000660   KOSPI          SK하이닉스                                반도체
184   048550  KOSDAQ          SM C&C                                    광고업
185   063440  KOSDAQ  SM Life Design                               복사
186   950180  KOSDAQ             SNK                         IT
187   005610   KOSPI           SPC삼립                              식품제조
188   011810   KOSPI             STX                              도매업
189   077970   KOSPI           STX엔진                          기계제조
190   071970   KOSPI          STX중공업                          기계제조
191   289080  KOSDAQ        SV인베스트먼트                                 금융
192   084870   KOSPI          TBH글로벌                               의복제조
193   002710   KOSPI           TCC스틸                              철강제조
194   089230  KOSDAQ         THE E&M                             IT
195   161570  KOSDAQ      THE MIDONG                          영상음향기기
196   032540  KOSDAQ           TJ미디어                          영상음향기기
197   048770  KOSDAQ             TPC                          기계제조
198   246690  KOSDAQ        TS인베스트먼트                            금융
199   317240  KOSDAQ          TS트릴리온                            화학제품제조
200   038340  KOSDAQ             UCI                               일반 교습 학원
201   073570  KOSDAQ              WI                          특수목적기계제조
202   024070   KOSPI          WISCOM                             플라스틱제조
203   052300  KOSDAQ          W홀딩컴퍼니                           기타 운송관련 서비스업
204   057030  KOSDAQ            YBM넷                              교육지원 서비스업
205   037270   KOSPI         YG PLUS       자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업
206   040300  KOSDAQ             YTN              영상배급
207   051390  KOSDAQ              YW                              도매업
208   052220  KOSDAQ            iMBC       자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업
209   079940  KOSDAQ             가비아                         IT
210   078890  KOSDAQ           가온미디어                         통신방송
211   000500   KOSPI            가온전선                          절연선 및 케이블 제조업
212   192410  KOSDAQ             감마누                         통신방송
213   000860   KOSPI          강남제비스코                            화학제품제조
214   217730  KOSDAQ         강스템바이오텍                  바이오
215   114190  KOSDAQ              강원               구조용 금속제품, 탱크 및 증기발생기 제조업
216   035250   KOSPI            강원랜드                     오락
217   094480  KOSDAQ        갤럭시아머니트리                         IT
218   011420   KOSPI         갤럭시아에스엠                               스포츠 서비스업
219   063080  KOSDAQ             게임빌                         IT
220   044480  KOSDAQ         경남바이오파마                               고무제품 제조업
221   039240  KOSDAQ            경남스틸                              철강제조
222   053950  KOSDAQ            경남제약                                바이오
223   223310  KOSDAQ        경남제약헬스케어                         IT
224   002100   KOSPI              경농                   비료, 농약 및 살균, 살충제 제조업
225   009450   KOSPI           경동나비엔                             가정용 기기 제조업
226   267290   KOSPI          경동도시가스                      연료용 가스 제조 및 배관공급업
227   012320   KOSPI          경동인베스트                                 금융
228   011040  KOSDAQ            경동제약                                바이오
229   000050   KOSPI              경방                                 소매
230   214390   KOSPI            경보제약                  바이오
231   012610   KOSPI            경인양행                            기초화학물질
232   009140   KOSPI            경인전자                               전자부품
233   024910  KOSDAQ            경창산업                          자동차
234   013580   KOSPI            계룡건설                                 토목 건설업
235   012200   KOSPI            계양전기                          기계제조
236   002140   KOSPI            고려산업                   곡물가공품, 전분 및 전분제품 제조업
237   198440  KOSDAQ           고려시멘트               시멘트, 석회, 플라스터 및 그 제품 제조업
238   049720  KOSDAQ          고려신용정보                           기타 사업지원 서비스업
239   010130   KOSPI            고려아연                            금속제조
240   002240   KOSPI            고려제강                              철강제조
241   014570  KOSDAQ            고려제약                                바이오
242   348150  KOSDAQ           고바이오랩                        바이오
243   098460  KOSDAQ              고영                          특수목적기계제조
244   038530  KOSDAQ           골드퍼시픽                               생활용품 도매업
245   900280  KOSDAQ           골든센츄리                                 금부동산
246   215000  KOSDAQ             골프존                         IT
247   121440  KOSDAQ        골프존뉴딘홀딩스                                 상품중개
248   009290   KOSPI            광동제약                                바이오
249   014200  KOSDAQ              광림                      자동차용 엔진 및 자동차 제조업
250   017040   KOSPI            광명전기      전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업
251   017900   KOSPI             광전자                                반도체
252   037710   KOSPI           광주신세계                                 소매
253   026910  KOSDAQ            광진실업                              철강제조
254   090150  KOSDAQ            광진윈텍                          자동차
255   355150  KOSDAQ         교보10호스팩                                 금융
256   307280  KOSDAQ          교보8호스팩                             금융
257   331520  KOSDAQ          교보9호스팩                             금융
258   030610   KOSPI            교보증권                             금융
259   339770   KOSPI          교촌에프앤비                         음식담배도매
260   053270  KOSDAQ            구영테크                          자동차
261   007690   KOSPI            국도화학                            기초화학물질
262   005320   KOSPI              국동                               생활용품 도매업
263   001140   KOSPI              국보                              화물운송
264   066620  KOSDAQ           국보디자인                       실내건축 및 건축마무리 공사업
265   043650  KOSDAQ             국순당                              알코올음료 제조업
266   006050  KOSDAQ           국영지앤엠                          유리 및 유리제품 제조업
267   060480  KOSDAQ            국일신동                            금속제조
268   078130  KOSDAQ            국일제지                      기타 종이 및 판지 제품 제조업
269   307750  KOSDAQ            국전약품                                바이오
270   002720   KOSPI            국제약품                                바이오
271   204020  KOSDAQ             그리티                               의복제조
272   083420   KOSPI           그린케미칼                            화학제품제조
273   186230  KOSDAQ           그린플러스                            금속제조
274   014530   KOSPI            극동유화                             석유
275   900070  KOSDAQ          글로벌에스엠                                 금융
276   204620  KOSDAQ         글로벌텍스프리                             금융
277   019660  KOSDAQ             글로본                              도매업
278   032860  KOSDAQ          글로스퍼랩스                        해체, 선별 및 원료 재생업
279   014280   KOSPI            금강공업                              철강제조
280   053260  KOSDAQ            금강철강                              철강제조
281   008870   KOSPI              금비                          유리 및 유리제품 제조업
282   001570   KOSPI              금양                            기초화학물질
283   002990   KOSPI            금호산업                                 건설
284   011780   KOSPI            금호석유                            기초화학물질
285   214330   KOSPI          금호에이치티                          자동차
286   001210   KOSPI            금호전기                          조명장치
287   073240   KOSPI           금호타이어                               고무제품 제조업
288   036190  KOSDAQ          금화피에스시                            전기통신공사
289   049080  KOSDAQ            기가레인                          특수목적기계제조
290   035460  KOSDAQ           기산텔레콤                         통신방송
291   092440   KOSPI            기신정기                          특수목적기계제조
292   000270   KOSPI             기아차                      자동차용 엔진 및 자동차 제조업
293   024110   KOSPI            기업은행                              은행 및 저축기관
294   013700   KOSPI           까뮤이앤씨                                 건설
295   308100  KOSDAQ           까스텔바작                  섬유, 의복, 신발 및 가죽제품 소매업
296   004540   KOSPI           깨끗한나라                        펄프, 종이 및 판지 제조업
297   187790  KOSDAQ              나노                            기초화학물질
298   286750  KOSDAQ            나노브릭                            기초화학물질
299   151910  KOSDAQ             나노스                               전자부품
300   121600  KOSDAQ           나노신소재                            화학제품제조
301   039860  KOSDAQ            나노엔텍                             의료용 기기 제조업
302   091970  KOSDAQ            나노캠텍                             플라스틱제조
303   051490  KOSDAQ           나라엠앤디                          특수목적기계제조
304   190510  KOSDAQ             나무가                               전자부품
305   242040  KOSDAQ            나무기술                         IT
306   089600  KOSDAQ           나스미디어                                    광고업
307   293580  KOSDAQ            나우IB                                 금융
308   138610  KOSDAQ             나이벡                  의료용품 및 기타 의약 관련제품 제조업
309   130580  KOSDAQ          나이스디앤비                           기타 사업지원 서비스업
310   036800  KOSDAQ         나이스정보통신                                 통신
311   267320  KOSDAQ            나인테크                          특수목적기계제조
312   001260   KOSPI            남광토건                                 토목 건설업
313   008350   KOSPI           남선알미늄                            금속제조
314   004270   KOSPI              남성                              전문도매
315   003920   KOSPI            남양유업                       낙농제품 및 식용빙과류 제조업
316   025860   KOSPI            남해화학                   비료, 농약 및 살균, 살충제 제조업
317   111710  KOSDAQ            남화산업                               스포츠 서비스업
318   091590  KOSDAQ            남화토건                                 건설
319   168330  KOSDAQ          내츄럴엔도텍                        바이오
320   056000  KOSDAQ             네스엠                         IT
321   253590  KOSDAQ             네오셈                          특수목적기계제조
322   212560  KOSDAQ            네오오토                          자동차 신품 부동산
323   095660  KOSDAQ            네오위즈                         IT
324   042420  KOSDAQ         네오위즈홀딩스                         IT
325   311390  KOSDAQ           네오크레마                              식품제조
326   085910  KOSDAQ            네오티스                          자동차
327   092730  KOSDAQ             네오팜                            화학제품제조
328   290660  KOSDAQ            네오펙트                             의료용 기기 제조업
329   306620  KOSDAQ            네온테크                          특수목적기계제조
330   153460  KOSDAQ             네이블                         IT
331   007390  KOSDAQ            네이처셀                  바이오
332   033640  KOSDAQ             네패스                                반도체
333   330860  KOSDAQ           네패스아크                 그외 기타 전문, 과학 및 기술 서비스업
334   005720   KOSPI              넥센                               고무제품 제조업
335   002350   KOSPI           넥센타이어                               고무제품 제조업
336   089140  KOSDAQ             넥스턴                          유리 및 유리제품 제조업
337   065170  KOSDAQ           넥스트BT                         음식담배도매
338   003580   KOSPI         넥스트사이언스                            기타 비금속광물 광업
339   137940  KOSDAQ           넥스트아이  측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외
340   348210  KOSDAQ             넥스틴                          특수목적기계제조
341   041140  KOSDAQ            넥슨지티                         IT
342   217270  KOSDAQ              넵튠                         IT
343   225570  KOSDAQ            넷게임즈                         IT
344   251270   KOSPI             넷마블                         IT
345   104620  KOSDAQ            노랑풍선                     여행사 및 기타 여행보조 서비스업
346   090350   KOSPI           노루페인트                            화학제품제조
347   000320   KOSPI           노루홀딩스                                 금융
348   194700  KOSDAQ            노바렉스                              식품제조
349   285490  KOSDAQ             노바텍                           그외 기타 제품 제조업
350   278650  KOSDAQ             노터스                        바이오
351   006280   KOSPI             녹십자                                바이오
352   144510  KOSDAQ           녹십자랩셀                 그외 기타 전문, 과학 및 기술 서비스업
353   031390  KOSDAQ            녹십자셀                  기초 의약물질 및 부동산
354   142280  KOSDAQ          녹십자엠에스                  의료용품 및 기타 의약 관련제품 제조업
355   234690  KOSDAQ           녹십자웰빙                                바이오
356   005250   KOSPI          녹십자홀딩스                    회사 본부 및 경영 컨설팅 서비스업
357   065560  KOSDAQ          녹원씨엔아이                           인쇄 및 인쇄관련 산업
358   004370   KOSPI              농심                              식품제조
359   072710   KOSPI           농심홀딩스                                 금융
360   054050  KOSDAQ           농우바이오                                 작물 재배업
361   040160  KOSDAQ           누리텔레콤                         IT
362   069140  KOSDAQ            누리플랜               구조용 금속제품, 탱크 및 증기발생기 제조업
363   126870  KOSDAQ             뉴로스                          기계제조
364   060260  KOSDAQ             뉴보텍                             플라스틱제조
365   012340  KOSDAQ             뉴인텍                               전자부품
366   214870  KOSDAQ             뉴지랩                         통신방송
367   270870  KOSDAQ             뉴트리                              식품제조
