       code  ratio  ratio_price
245  079810   1.09         0.97
246  091440   1.09         0.97
247  006800   1.09         0.97
248  123570   1.09         0.95
249  263800   1.09         0.97
250  005160   1.09         0.98
251  290380   1.09         0.98
252  214270   1.09         0.95
253  049120   1.09         0.97
254  000240   1.09         0.97
255  018680   1.09         0.99
256  014990   1.09         0.97
257  153360   1.09         0.99
258  250930   1.09         0.99
259  153490   1.09         0.99
260  097800   1.09         0.98
261  004060   1.09         0.99
262  097780   1.09         0.96
263  086890   1.09         0.98
264  003530   1.09         0.97
265  086280   1.09         0.98
266  093050   1.09         0.98
267  039840   1.09         0.96
268  060230   1.09         0.95
269  002900   1.09         0.97
270  032350   1.09         0.97
271  356860   1.09         0.97
272  155900   1.09         0.97
273  043200   1.09         0.98
274  054780   1.09         0.96
275  208350   1.09         0.99
276  003780   1.09         0.98
277  096240   1.09         0.98
278  071050   1.09         0.98
279  025750   1.09         0.99
280  086060   1.09         0.97
281  900340   1.09         0.99
282  021050   1.09         0.97
283  035150   1.09         0.96
284  122640   1.09         0.96
285  019680   1.09         0.98
286  045510   1.09         0.97
287  214420   1.09         0.97
288  238490   1.10         0.98
289  003030   1.10         0.97
290  025860   1.10         0.98
291  161000   1.10         0.98
292  054950   1.10         0.98
293  018000   1.10         0.98
294  218150   1.10         0.98
295  000140   1.10         0.99
296  094480   1.10         0.98
297  123410   1.10         0.97
298  151910   1.10         0.98
299  018880   1.10         0.98
300  001000   1.10         0.95
301  027830   1.10         0.99
302  040610   1.10         0.97
303  033500   1.10         0.98
304  001780   1.10         0.97
305  115450   1.10         0.98
306  246250   1.10         0.99
307  135160   1.10         0.96
308  064960   1.10         0.98
309  046440   1.10         0.99
310  006050   1.10         0.96
311  005430   1.10         0.97
312  054670   1.10         0.96
313  047560   1.10         0.95
314  194700   1.10         0.99
315  352770   1.10         0.98
316  237820   1.10         0.97
317  069140   1.10         0.98
318  003350   1.10         0.97
319  313760   1.10         0.97
320  264850   1.10         0.96
321  052670   1.10         0.98
322  009300   1.10         0.96
323  093380   1.10         0.96
324  078070   1.10         0.95
325  066900   1.10         0.95
326  177830   1.10         0.98
327  051360   1.10         0.98
328  084370   1.10         0.99
329  251280   1.10         0.98
330  013310   1.10         0.96
331  048550   1.10         0.95
332  009830   1.10         0.98
333  222420   1.10         0.99
